Hexagon Center,Number of Pixels,Alignment Metric,Adjusted Metric,Metric Squared,metric2
"(450.33320996790803, 420.0)",74,0.651226965440415,0.8061009846392266,0.4240965605167315,0.8094011788241783
"(519.6152422706632, 420.0)",179,0.5124467359646341,0.6963247276980125,0.2626016572008074,0.7022787470101854
"(588.8972745734183, 420.0)",193,0.2503115412016581,0.48761601921018505,0.06265586765874938,0.49861554135045594
"(658.1793068761733, 420.0)",180,0.3287621164117045,0.5575164280791945,0.10808452918750314,0.5668261179494606
"(727.4613391789284, 420.0)",154,0.31773384571244834,0.5493589711648375,0.10095479671122193,0.5588658663756457
"(796.7433714816835, 420.0)",197,0.2878961341544959,0.5207752069688553,0.0828841840611035,0.5309731105431067
"(866.0254037844386, 420.0)",165,0.13790061653923247,0.3616164901348666,0.019016580041900436,0.37566203265873643
"(935.3074360871937, 420.0)",188,0.32361957304821254,0.551672024028403,0.10472962805990738,0.5611230015209271
"(1004.5894683899488, 420.0)",76,0.34607040041462467,0.5817379921603422,0.11976472204313865,0.5904621292237423
"(1073.8715006927036, 420.0)",223,0.2914061713068312,0.5242954069114864,0.08491755667570626,0.5344082101614882
"(1143.1535329954588, 420.0)",253,0.28734412121701314,0.5188815014706517,0.08256664399797754,0.529125185101308
"(1212.435565298214, 420.0)",269,0.3470770306566402,0.5722539127318695,0.12046246520943035,0.581207326043132
"(1281.717597600969, 420.0)",217,0.11246915220544751,0.3260587461609025,0.012649310197812118,0.3409638920002319
"(1350.999629903724, 420.0)",149,0.28260800809711917,0.5173717420578322,0.07986728624062138,0.5276519239038353
"(1420.281662206479, 420.0)",221,0.13463116911195017,0.3561890703987606,0.018125551696450526,0.3703658200094176
"(1489.5636945092342, 420.0)",192,0.21522154019545492,0.45233782350647295,0.04632031136410382,0.46419019092321995
"(1558.8457268119894, 420.0)",143,0.3364004200325008,0.5646991560540723,0.11316524259804298,0.5738352045148672
"(1628.1277591147443, 420.0)",145,0.33077530308828695,0.5620502452127367,0.1094123011331481,0.5712503307098307
"(1697.4097914174995, 420.0)",86,0.4494003692164583,0.6542868675626388,0.20196069185188906,0.6612571460608179
"(1766.6918237202547, 420.0)",57,0.7570892184176934,0.8518870718033257,0.5731840846443138,0.8540803939562104
"(1835.9738560230096, 420.0)",nan,nan,nan,nan,nan
"(1905.2558883257648, 420.0)",nan,nan,nan,nan,nan
"(1974.53792062852, 420.0)",nan,nan,nan,nan,nan
"(2043.8199529312749, 420.0)",nan,nan,nan,nan,nan
"(2113.10198523403, 420.0)",nan,nan,nan,nan,nan
"(2182.3840175367854, 420.0)",nan,nan,nan,nan,nan
"(2251.6660498395404, 420.0)",nan,nan,nan,nan,nan
"(2320.9480821422953, 420.0)",nan,nan,nan,nan,nan
"(2390.2301144450507, 420.0)",nan,nan,nan,nan,nan
"(2459.5121467478057, 420.0)",nan,nan,nan,nan,nan
"(2528.7941790505606, 420.0)",nan,nan,nan,nan,nan
"(2598.076211353316, 420.0)",nan,nan,nan,nan,nan
"(0.0, 480.0)",nan,nan,nan,nan,nan
"(69.28203230275508, 480.0)",nan,nan,nan,nan,nan
"(138.56406460551017, 480.0)",nan,nan,nan,nan,nan
"(207.84609690826525, 480.0)",nan,nan,nan,nan,nan
"(277.12812921102034, 480.0)",nan,nan,nan,nan,nan
"(346.4101615137754, 480.0)",nan,nan,nan,nan,nan
"(415.6921938165305, 480.0)",52,0.960203795753519,0.9897178790578335,0.9219913293794656,0.9885791613890919
"(484.9742261192856, 480.0)",120,0.3033890612914778,0.5455465904357537,0.09204492251132407,0.5551456493990462
"(554.2562584220407, 480.0)",104,0.6214751941865075,0.7684506771774267,0.38623141698915725,0.772661062097368
"(623.5382907247957, 480.0)",123,0.6737155871376721,0.8109082195517539,0.45389269235225826,0.8140921995282893
"(692.8203230275508, 480.0)",152,0.5820240430975916,0.7448315610386892,0.33875198674366713,0.7496129346736612
"(762.102355330306, 480.0)",152,0.6431075082010131,0.780743940151781,0.4135872671045162,0.7846571372181197
"(831.384387633061, 480.0)",70,0.20993663963893083,0.46051414197260215,0.044073392662886304,0.47216884807352205
"(900.6664199358161, 480.0)",167,0.1694357727265523,0.4060816361003438,0.028708481079443886,0.41905224015448667
"(969.9484522385712, 480.0)",196,0.38396492885522093,0.6013967890966044,0.14742906659079488,0.6096456775886461
"(1039.2304845413262, 480.0)",188,0.35180737949221386,0.576413058671326,0.12376843226517857,0.5852659252313194
"(1108.5125168440813, 480.0)",174,0.12672667422617323,0.3475439057950958,0.01605964996042664,0.36192965100911406
"(1177.7945491468365, 480.0)",115,0.5177504263168915,0.7000431896266357,0.2680655039513229,0.7059073156597357
"(1247.0765814495915, 480.0)",144,0.44004641625034546,0.6470104159496468,0.1936408484547723,0.6541566016126867
"(1316.3586137523466, 480.0)",232,0.37746359412733965,0.5979432842910997,0.142478764891529,0.6062756607621015
"(1385.6406460551016, 480.0)",214,0.4703361013652634,0.6659121442211643,0.22121604824747532,0.6726013833382701
"(1454.9226783578567, 480.0)",212,0.12335095592239131,0.3407501098999636,0.015215458326967725,0.3553000941467025
"(1524.204710660612, 480.0)",189,0.15590255755914262,0.3823629116861076,0.024305607453481776,0.39590691247092824
"(1593.4867429633669, 480.0)",181,0.2838666466896902,0.5189274221975507,0.0805802731028494,0.5291699957012789
"(1662.768775266122, 480.0)",167,0.1436724049537279,0.36816996894144577,0.02064175994518798,0.3820570820634375
"(1732.0508075688772, 480.0)",73,0.4223576066094652,0.6379006821539775,0.17838594786087575,0.6452670943133735
"(1801.3328398716321, 480.0)",92,0.20871783355415974,0.4667743375928317,0.04356313404354193,0.47827770437046624
"(1870.6148721743873, 480.0)",102,0.9160268079116196,0.9535821943685517,0.8391051128127512,0.9533170516484359
"(1939.8969044771425, 480.0)",50,0.9367394273085936,0.9679584923773693,0.877480754674432,0.9673458047331025
"(2009.1789367798974, 480.0)",nan,nan,nan,nan,nan
"(2078.4609690826524, 480.0)",nan,nan,nan,nan,nan
"(2147.7430013854078, 480.0)",nan,nan,nan,nan,nan
"(2217.0250336881627, 480.0)",nan,nan,nan,nan,nan
"(2286.3070659909176, 480.0)",nan,nan,nan,nan,nan
"(2355.589098293673, 480.0)",nan,nan,nan,nan,nan
"(2424.871130596428, 480.0)",nan,nan,nan,nan,nan
"(2494.153162899183, 480.0)",nan,nan,nan,nan,nan
"(2563.4351952019383, 480.0)",nan,nan,nan,nan,nan
"(34.64101615137754, 540.0)",nan,nan,nan,nan,nan
"(103.92304845413263, 540.0)",nan,nan,nan,nan,nan
"(173.2050807568877, 540.0)",nan,nan,nan,nan,nan
"(242.4871130596428, 540.0)",nan,nan,nan,nan,nan
"(311.76914536239786, 540.0)",nan,nan,nan,nan,nan
"(381.0511776651529, 540.0)",nan,nan,nan,nan,nan
"(450.33320996790803, 540.0)",130,0.09684305716960018,0.3146654119038692,0.009378577721954448,0.3298459899502772
"(519.6152422706632, 540.0)",140,0.18677249279273966,0.42815449545323314,0.03488396406401399,0.44059149132640396
"(588.8972745734183, 540.0)",143,0.5417073956965197,0.7221382343332201,0.29344690255230577,0.7274682158576328
"(658.1793068761733, 540.0)",164,0.486735700680599,0.6783075154259406,0.23691164231703368,0.6846970982377482
"(727.4613391789284, 540.0)",150,0.5609082475243332,0.7303610030261238,0.31461806214081867,0.7354922003071983
"(796.7433714816835, 540.0)",157,0.20496705564889628,0.4394362642762326,0.04201149390137775,0.45160052502054937
"(866.0254037844386, 540.0)",137,0.6168321365846661,0.7691449437816705,0.3804818847236041,0.7733385449069128
